description,original label,mip,# of sub-expts.,min ens. size,start year,end year,min. # yrs/sim,tier,experiment_id,seg-1,seg-2,seg-3,sub_ experiment_ id,required model components,additional allowed model components,experiment label used in final version of GMD article,experiment title,sub_experiment (title),parent_ experiment_id,parent_sub_ experiment_id,parent_activity_id,Questions/Comments/Notes,number of char.,
*  Extension of well-mixed GHG-only run under SSP2-4.5. *  Models with interactive chemistry schemes should either turn off the chemistry or use a preindustrial climatology of stratospheric and tropospheric ozone in their radiation schemes.,ssp245GHG,DAMIP,1,1,2021,2100,80,2,ssp245-GHG,ssp245,GHG,,none,AOGCM,"AER CHEM, BGM",ssp245GHG,well-mixed GHG-only SSP2-4.5 run,none,hist-GHG,none,DAMIP,,10,
Extension of natural-only run under SSP2-4.5. ,ssp245NAT,DAMIP,1,1,2021,2100,80,3,ssp245-nat,ssp245,nat,,none,AOGCM,"AER CHEM, BGM",ssp245NAT,natural-only SSP2-4.5 run,none,hist-nat,none,DAMIP,,10,
"* Extension of stratospheric-ozone-only run under SSP2-4.5 *   In models with coupled chemistry, the chemistry scheme should be turned off, and the simulated ensemble mean monthly mean 3D stratospheric ozone concentrations from the SSP2-4.5 simulations should be prescribed. Tropospheric ozone should be fixed at 3D long-term monthly mean piControl values, with a value of 100 ppbv ozone concentration in this piControl climatology used to separate the troposphere from the stratosphere. * In models without coupled chemistry the same stratospheric ozone prescribed in SSP2-4.5 should be prescribed. Stratospheric ozone concentrations will be provided by CCMI.",ssp245SOZ,DAMIP,1,1,2021,2100,80,2,ssp245-stratO3,ssp245,stratO3,,none,AOGCM,"AER CHEM, BGM",ssp245SOZ,stratospheric-ozone-only SSP2-4.5 run,none,hist-stratO3,none,DAMIP,,14,
"Decadal hindcasts begun each year from 1960 to present, or every other year at minimum",A1,DCPP,,10,1960,present (to 2019),300,1,dcppA-hindcast,dcppA,hindcast,,"of form: ""sYYYY""",AOGCM,AER CHEM BGM,A1,year 1-5 hindcast initialized based on observations and using historical forcing,initialized near end of year YYYY,(dcppA-assim),none,DCPP,"Here and elsewhere (dcppA-assim) as the ""parent"" id applies only if available (see A2.3)",14,
Extend hindcast duration to 10 years,A2.1,DCPP,,,1850,,170,2,,,,,"of form: ""sYYYY""",AOGCM,AER CHEM BGM,A2.1,year 6-10 hindcast initialized based on observations and using historical forcing,initialized near end of year YYYY,(dcppA-assim),none,DCPP,"experiment_id=""dcppA-hindcast""",,
Historical and future uninitialized simulations to assess the impact of initialization,A2.2,DCPP,,10,1850,2030,170,2,dcppA-historical,dcppA,historical,,"of form: ""sYYYY""",AOGCM,AER CHEM BGM,A2.2,climate simulations initialized from control with forcing prescribed from the historical period and future scenario as in A1,initialized near end of year YYYY,,,,,16,
Assimilation runs used to generate initial conditions for hindcasts if used,A2.3,DCPP,,,,,,2,dcppA-assim,dcppA,assim,,"of form: ""sYYYY""",AOGCM,AER CHEM BGM,A2.3,assimilation runs (if available) that are used to generate initial conditions for hindcasts and which parallel the historical simulations and use the same forcing ,initialized near end of year YYYY,,,,Some groups may insert initial conditions or initialize in other ways in which case these results will not be available ,11,
m additional ensemble members for A1,A3.1,DCPP,,,,,,3,,,,,,,,A3.1,increased ensemble size for A1,,(dcppA-assim),none,DCPP,"experiment_id=""dcppA-hindcast""",,
m additional ensemble members for A2.1,A3.2,DCPP,,12,1960,present (to 2019),300,3,,,,,,,,A3.2,increased ensemble size for A2.1,,(dcppA-assim),none,DCPP,"experiment_id=""dcppA-hindcast""",,
"Decadal hindcasts begun each year from 1960 to present, or every other year at minimum, but with no information from the future",A4.1,DCPP,,10,1960,present (to 2019),300,4,dcppA-hindcast-niff,dcppA,hindcast,niff,"of form: ""sYYYY""",AOGCM,AER CHEM BGM,A4.1,hindcast initialized from observations without future observed forcing after initialization,initialized near end of year YYYY,(dcppA-assim),none,DCPP,,19,
"Uninitialized climate simulations as in DCPP-A2.2, but with no information from the future",A4.2,DCPP,,10,1960,present (to 2019),300,4,dcppA-historical-niff,dcppA,historical,niff,"of form: ""sYYYY""",AOGCM,AER CHEM BGM,A4.2,hindcast initialized from historical climate simulations without observed forcing after initialization,initialized near end of year YYYY,(dcppA-assim),none,DCPP,,21,
Ongoing decadal forecasts,B1,DCPP,,10,present,ongoing each year,5,1,dcppB-forecast,dcppB,forecast,,"of form: ""sYYYY""",AOGCM,AER CHEM BGM,B1,year 1-5 forecast initialized from observations,initialized near end of year YYYY,(dcppA-assim),none,DCPP,,14,
Ongoing decadal forecasts with m additional ensemble members,B2.1,DCPP,,12,present,ongoing each year,5,2,,,,,,,,B2.1,Increase ensemble size by m for B1,,(dcppA-assim),none,DCPP,"experiment_id = ""dcppB-forecast""",,
Ongoing decadal forecasts extended to 10 years,B2.2,DCPP,,10,present,ongoing each year,5,2,,,,,,,,B2.2,year 6-10 forecast initialized from observations,,(dcppA-assim),none,DCPP,"experiment_id = ""dcppB-forecast""",,
Mechanisms and predictability of the hiatus and of similar long timescale variations of both signs,C1.1,DCPP,,10,1950 (from 1920 if possible),2015,66,1,dcppC-atl-control,dcppC,atl,control,"of form: ""sYYYY""",AOGCM,AER CHEM BGM,C1.1,idealized Atlantic control,initialized near end of year YYYY,,,,,17,
Mechanisms and predictability of the hiatus and of similar long timescale variations of both signs,C1.2,DCPP,,10,1950 (from 1920 if possible),2015,66,1,dcppC-amv-plus,dcppC,amv,plus,"of form: ""sYYYY""",AOGCM,AER CHEM BGM,C1.2,idealized positive AMV anomaly pattern,initialized near end of year YYYY,,,,,14,
Mechanisms and predictability of the hiatus and of similar long timescale variations of both signs,C1.3,DCPP,,10,1950,1949,30,1,dcppC-amv-minus,dcppC,amv,minus,"of form: ""sYYYY""",AOGCM,AER CHEM BGM,C1.3,idealized negative AMV anomaly pattern,initialized near end of year YYYY,,,,,15,
Mechanisms and predictability of the hiatus and of similar long timescale variations of both signs,C1.4,DCPP,,10,1950,1949,30,1,dcppC-pac,dcppC,pac,,"of form: ""sYYYY""",AOGCM,AER CHEM BGM,C1.4,idealized Pacific control,initialized near end of year YYYY,,,,,9,
Mechanisms and predictability of the hiatus and of similar long timescale variations of both signs,C1.5,DCPP,,10,control ,,25,1,dcppC-ipv-plus,dcppC,ipv,plus,"of form: ""sYYYY""",AOGCM,AER CHEM BGM,C1.5,idealized positive IPV anomaly pattern,initialized near end of year YYYY,,,,,14,
Mechanisms and predictability of the hiatus and of similar long timescale variations of both signs,C1.6,DCPP,,10,control ,,25,1,dcppC-ipv-minus,dcppC,ipv,minus,"of form: ""sYYYY""",AOGCM,AER CHEM BGM,C1.6,idealized negative IPV anomaly pattern,initialized near end of year YYYY,,,,,15,
Mechanisms and predictability of the hiatus and of similar long timescale variations of both signs,C1.7a,DCPP,,10,control ,,25,2,dcppC-amv-extrop-plus,dcppC,amv,extrop-plus,"of form: ""sYYYY""",AOGCM,AER CHEM BGM,C1.7,idealized positive extratropical AMV anomaly pattern,initialized near end of year YYYY,,,,,21,
Mechanisms and predictability of the hiatus and of similar long timescale variations of both signs,C1.7b,DCPP,,10,1993,1996,5,2,dcppC-amv-extrop-minus,dcppC,amv,extrop-minus,"of form: ""sYYYY""",AOGCM,AER CHEM BGM,C1.7,idealized  impact of a negative extratropical AMV anomaly pattern,initialized near end of year YYYY,,,,,22,
Mechanisms and predictability of the hiatus and of similar long timescale variations of both signs,C1.8a,DCPP,,10,1992,1999,5,2,dcppC-amv-trop-plus,dcppC,amv,trop-plus,"of form: ""sYYYY""",AOGCM,AER CHEM BGM,C1.8,idealized positive tropical AMV anomaly pattern,initialized near end of year YYYY,,,,,19,
Mechanisms and predictability of the hiatus and of similar long timescale variations of both signs,C1.8b,DCPP,,10,1992,1999,5,2,dcppC-amv-trop-minus,dcppC,amv,trop-minus,"of form: ""sYYYY""",AOGCM,AER CHEM BGM,C1.8,idealized impact of a positive tropical AMV anomaly pattern,initialized near end of year YYYY,,,,,20,
Mechanisms and predictability of the hiatus and of similar long timescale variations of both signs,,DCPP,,,,,,2,dcppC-ipv-nextrop-plus,dcppC,ipv,nextrop-plus,"of form: ""sYYYY""",AOGCM,AER CHEM BGM,C1.9,idealized impact of a positive northern extratropical IPV anomaly pattern,initialized near end of year YYYY,,,,,22,
Mechanisms and predictability of the hiatus and of similar long timescale variations of both signs,,DCPP,,,,,,2,dcppC-ipv-nextrop-minus,dcppC,ipv,nextrop-minus,"of form: ""sYYYY""",AOGCM,AER CHEM BGM,C1.9,idealized impact of a negative northern extratropical IPV anomaly pattern,initialized near end of year YYYY,,,,,23,
Mechanisms and predictability of the hiatus and of similar long timescale variations of both signs,C1.9,DCPP,,,,,,3,dcppC-pac-pacemaker,dcppC,pac,pacemaker,"of form: ""sYYYY""",AOGCM,AER CHEM BGM,C1.10,pacemaker pacific experiment,initialized near end of year YYYY,,,,,19,
Mechanisms and predictability of the hiatus and of similar long timescale variations of both signs,C1.10,DCPP,,,,,,3,dcppC-atl-pacemaker,dcppC,atl,pacemaker,"of form: ""sYYYY""",AOGCM,AER CHEM BGM,C1.11,pacemaker atlantic experiment ,initialized near end of year YYYY,,,,,19,
Mechanisms and predictability of the hiatus and of similar long timescale variations of both signs,C2.1,DCPP,,,,,,3,dcppC-atl-spg,dcppC,atl,spg,"of form: ""sYYYY""",AOGCM,AER CHEM BGM,C2.1,predictability of 1990s warming of Atlantic sub-polar gyre,initialized near end of year YYYY,,,,,13,
Mechanisms and predictability of the hiatus and of similar long timescale variations of both signs,C2.2,DCPP,,,,,,3,,,,,,,,C2.2,increased ensemble size for C2.1,,,,,"experiment_id = ""dcpp-atl-spg""",,
Effects of volcanoes on decadal prediction and predictability of forced and internal variability components,C3.1,DCPP,,10,1991,1991,5,1,dcppC-hindcast-noPinatubo,dcppC,hindcast,noPinatubo,"of form: ""sYYYY""",AOGCM,AER CHEM BGM,C3.1,hindcast but with only background volcanic forcing,initialized near end of year YYYY,(dcppA-assim),none,DCPP,kept these separate,25,
Effects of volcanoes on decadal prediction and predictability of forced and internal variability components,C3.2,DCPP,,10,1982,1982,5,2,dcppC-hindcast-noElChichon,dcppC,hindcast,noElChichon,"of form: ""sYYYY""",AOGCM,AER CHEM BGM,C3.2,,initialized near end of year YYYY,(dcppA-assim),none,DCPP,,26,
Effects of volcanoes on decadal prediction and predictability of forced and internal variability components,C3.3,DCPP,,10,1963,1963,5,2,dcppC-hindcast-noAgung,dcppC,hindcast,noAgung,"of form: ""sYYYY""",AOGCM,AER CHEM BGM,C3.3,,initialized near end of year YYYY,(dcppA-assim),none,DCPP,,22,
Effects of volcanoes on decadal prediction and predictability of forced and internal variability components,C3.4,DCPP,,10,2015,2015,5,1,dcppC-forecast-addPinatubo,dcppC,forecast,addPinatubo,"of form: ""sYYYY""",AOGCM,AER CHEM BGM,C3.4,2015 forecast with added Pinatubo forcing,initialized near end of year YYYY,(dcppA-assim),none,DCPP,,26,
Effects of volcanoes on decadal prediction and predictability of forced and internal variability components,C3.5,DCPP,,10,2015,2015,5,3,dcppC-forecast-addElChichon,dcppC,forecast,addElChichon,"of form: ""sYYYY""",AOGCM,AER CHEM BGM,C3.5,2015 forecast with added El Chichon forcing,initialized near end of year YYYY,(dcppA-assim),none,DCPP,,27,
Effects of volcanoes on decadal prediction and predictability of forced and internal variability components,C3.6,DCPP,,10,2015,2015,5,3,dcppC-forecast-addAgung,dcppC,forecast,addAgung,"of form: ""sYYYY""",AOGCM,AER CHEM BGM,C3.6,2015 forecast with added Agung forcing,initialized near end of year YYYY,(dcppA-assim),none,DCPP,,23,18.7
"1xCO2 experiment, parallel to piControl, forced over the ocean simultaneously by surface windstress (as in the wind experiment), net heat flux (as in the heat experiment) and net freshwater flux (as in the water experiment) anomalies obtained from the CMIP5 ensemble mean of 1pctCO2 experiments at the time of 2xCO2, using a passive tracer to prevent negative climate feedback on the heat flux applied",allFAF,FAFMIP,1,1,,,70,2,faf-all,faf,all,,none,AOGCM,AER CHEM BGM,faf-all,"control plus perturbative surface fluxes of momentum, heat and water into ocean",none,piControl,none,CMIP,,7,
"1xCO2 experiment, parallel to piControl, forced over the ocean by surface net heat flux anomalies obtained from the CMIP5 ensemble mean of 1pctCO2 experiments at the time of 2xCO2, using a passive tracer to prevent negative climate feedback on the heat flux applied",heatFAF,FAFMIP,1,1,,,70,1,faf-heat,faf,heat,,none,AOGCM,AER CHEM BGM,faf-heat,control plus perturbative surface flux of heat into ocean,none,piControl,none,CMIP,,8,
"1xCO2 experiment, parallel to piControl, with a flux of passive tracer added at the ocean surface at the same rate as the surface net heat flux anomaly applied in the FAFMIP heat experiment.",passiveheat,FAFMIP,1,1,,,70,2,faf-passiveheat,faf,passiveheat,,none,AOGCM,AER CHEM BGM,faf-passiveheat,control plus surface flux of passive heat tracer into ocean,none,piControl,none,CMIP,,15,
"1xCO2 experiment, parallel to piControl, forced over the ocean by surface windstress anomalies obtained from the CMIP5 ensemble mean of 1pctCO2 experiments at the time of 2xCO2",stressFAF,FAFMIP,1,1,,,70,1,faf-stress,faf,stress,,none,AOGCM,AER CHEM BGM,faf-stress,control plus perturbative surface flux of momentum into ocean,none,piControl,none,CMIP,,10,
"1xCO2 experiment, parallel to piControl, forced over the ocean by surface net freshwater flux anomalies obtained from the CMIP5 ensemble mean of 1pctCO2 experiments at the time of 2xCO2",waterFAF,FAFMIP,1,1,,,70,1,faf-water,faf,water,,none,AOGCM,AER CHEM BGM,faf-water,control plus perturbative surface flux of water into ocean,none,piControl,none,CMIP,,9,
"Beginning from a preindustrial control run, simultaneously quadruple the CO2 concentration and reduce the solar constant such that the TOA radiative flux remains within +/m0.1 W/m2.",G1ext,GeoMIP,1,3,,,100,1,G1,G1,,,none,AOGCM,AER CHEM BGM,G1,abrupt quadrupling of CO2 plus reduction in total solar irradiance,none,piControl,none,CMIP,,2,
Time slice at 1850 (picontrol) for G1ext to examine radiative forcing of abrupt4xCO2,G1extSlice1,GeoMIP,1,1,,,10,2,piSST-4xCO2-solar,piSST,4xCO2,solar,none,AGCM,AER CHEM,piSST-4xCO2-solar,preindustrial conrol SSTs with quadrupled CO2 + solar reduction. ,none,,,,comparison of TOA fluxes from this simulation with those from the  piControl yields an estimate of forcing due to 4xCO2 plus compensating solar reduction (which should be near zero).,17,
Time slice at 1949 (picontrol) for G1ext to examine radiative forcing of abrupt4xCO2 + G1,G1extSlice2,GeoMIP,1,1,,,10,2,futureSST-4xCO2-solar,futureSST,4xCO2,solar,none,AGCM,AER CHEM,futureSST-4xCO2-solar,year 100 SSTs from abrupt4xCO2 with quadrupled CO2 + solar reduction,none,,,,comparison of TOA fluxes from this simulation with 10-year mean of fluxes centered around year 100 of 4xCO2 simulation yields an estimate of forcing due to solar reduction.,21,
Time slice at 2020 (ScenarioMIP Tier 1 high forcing scenario),G6Slice1,GeoMIP,1,1,,,10,2,G6SST1,G6SST1,,,none,AGCM,AER CHEM,G6SST1,"SSTs, forcings, and other prescribed conditions from year 2020 of SSP5-8.5",none,,,,This provides a baseline for estimating time-evolving forcing in G6SST2-solar and GSST2-sulfur.,6,
"Using solar irradiance reduction, return the radiative forcing from a background of the ScenarioMIP high forcing to the ScenarioMIP middle forcing.",G6solar,GeoMIP,1,3,2020,2100,81,1,G6solar,G6solar,,,none,AOGCM,AER CHEM BGM,G6solar,total solar irradiance reduction to reduce net forcing from SSP585 to SSP245,none,historical,none,CMIP,,7,
Time slice at 2100 (G6solar),G6solarSlice2,GeoMIP,1,1,,,10,2,G6SST2-solar,G6SST2,solar,,none,AGCM,AER CHEM,G6SST2-solar,SSTs from year 2020 of SSP5-8.5; forcings and other prescribed conditions from year 2100 of G6solar,none,,,,comparison of TOA fluxes from this simulation with G6SST1 yields an estimate of forcing due to solar reduction. ,12,
"Using equatorial SO2 injection, return the radiative forcing from a background of the ScenarioMIP high forcing to the ScenarioMIP middle forcing.",G6sulfur,GeoMIP,1,3,2020,2100,81,1,G6sulfur,G6sulfur,,,none,AOGCM,AER CHEM BGM,G6sulfur,stratospheric sulfate aerosol injection to reduce net forcing from SSP585 to SSP245,none,historical,none,CMIP,,8,
Time slice at 2100 (G6sulfur),G6sulfurSlice2,GeoMIP,1,1,,,10,2,G6SST2-sulfur,G6SST2,sulfur,,none,AGCM,AER CHEM,G6SST2-sulfur,SSTs from year 2020 of SSP5-8.5; forcings and other prescribed conditions from year 2100 of G6sulfur,none,,,,comparison of TOA fluxes from this simulation with G6SST1 yields an estimate of forcing due to aerosol shading. ,13,
"Against a background of the ScenarioMIP high forcing, reduce cirrus cloud optical depth by a constant amount",G7cirrus,GeoMIP,1,3,2020,2100,81,1,G7cirrus,G7cirrus,,,none,AOGCM,AER CHEM BGM,G7cirrus,G7cirrus _ increase cirrus ice crystal fall speed to reduce net forcing in SSP585 by 1 W m-2,none,historical,none,CMIP,,8,
Time slice at 2020 (ScenarioMIP Tier 1 high forcing scenario + cirrus thinning according to G7cirrus),G7cirrusSlice1,GeoMIP,1,1,,,10,2,G7SST1-cirrus,G7SST1,cirrus,,none,AGCM,AER CHEM,G7SST1-cirrus,SSTs from year 2020 of SSP5-8.5; forcings and other prescribed conditions from year 2020 of SSP5-8.5 + cirrus thinning,none,,,,comparison of TOA fluxes from this simulation with 10-year mean of fluxes centered around year 2020 of SSP5-8.5 yields estimate of cirrus forcing.,13,
Time slice at 2100 (ScenarioMIP Tier 1 high forcing scenario + cirrus thinning according to G7cirrus),G7cirrusSlice2,GeoMIP,1,1,,,10,2,G7SST2-cirrus,G7SST2,cirrus,,none,AGCM,AER CHEM,G7SST2-cirrus,SSTs from year 2100 of SSP5-8.5; forcings and other prescribed conditions from year 2100 of G7cirrus,none,,,,"similar to above run but for the warmer climate near 2100.  If forcing is independent of climate state, then there will be no difference from the above.",13,
Extended AMIP run that covers 1870-2014. All natural and anthropogenic historical forcings as used in CMIP6 Historical Simulation will be included. AGCM resolution as CMIP6 Historical Simulation. The HadISST data will be used.,AMIP20C,GMMIP,1,1,1870,2013,144,1,amip-hist,amip,hist,,none,AGCM,AER CHEM,,,none,,,,"Can this be simply named AMIP?  Same but for longer period.  In column B, start date should be changed to 1870.",9,
"The topography of the highlands in Africa, N. America and S. America TP is modified by setting surface elevations to a certain height (500m).Same model as DECK.",DHLD,GMMIP,1,1,1979,2013,35,3,amip-hld,amip,hld,,none,AGCM,AER CHEM,,,none,,,,,8,
The topography of the TIP is modified by setting surface elevations to 500m; to understand the combined thermal and mechanical forcing of the TIP. Same model as DECK.,DTIP,GMMIP,1,1,1979,2013,35,3,amip-TIP,amip,TIP,,none,AGCM,AER CHEM,,,none,,,,,8,
Surface sensible heat released at the elevation above 500m over the TIP is not allowed to heat the atmosphere.Same model as DECK.,DtipDsh,GMMIP,1,1,1979,2013,35,3,amip-TIP-nosh,amip,TIP,nosh,none,AGCM,AER CHEM,,,none,,,,,13,
"Pacemaker 20th century historical run that includes all forcing as used in CMIP6 Historical Simulation, and the observational historical SST is restored in the AMO domain (0o-70oN, 70oW-0o)",HistAmo,GMMIP,1,3,1870,2013,144,2,hist-resAMO,hist,resAMO,,none,AOGCM,AER CHEM BGM,,,none,piControl,none,CMIP,"are these partially-prescribed SSTs, but partially coupled models?",11,
"Pacemaker 20th century historical run that includes all forcing as used in CMIP6 Historical Simulation, and the observational historical SST is restored in the tropical lobe of the IPO domain (20oS-20oN, 175oE-75oW). The HadISST data will be used.",HistIpo,GMMIP,1,3,1870,2013,144,2,hist-resIPO,hist,resIPO,,none,AOGCM,AER CHEM BGM,,,none,piControl,none,CMIP,"are these partially-prescribed SSTs, but partially coupled models?",11,
"Coupled integrations, at least one with constant 1950""s forcing (CTL) and one or more with historic and then RCP4.5 (as in Forced_Atmos_Land, EXP).",Coupled,HighResMIP,1,2,,,100,2,control-1950,control,1950,,none,AOGCM,AER CHEM BGM,control-1950,coupled control with fixed 1950's forcing (HighResMIP equivalent of pre-industrial control),none,,,,,12,
"Coupled integrations, at least one with constant 1950""s forcing (CTL) and one or more with historic and then RCP4.5 (as in Forced_Atmos_Land, EXP).",Coupled,HighResMIP,1,2,1951,2050,100,2,highres-future,highres,future,,none,AOGCM,AER CHEM BGM,highres-future,coupled future 2015-2050 using a scenario as close to CMIP5 RCP8.5 as possible within CMIP6,none,hist-1950,none,HighResMIP,"The forcing for this run in unclear.  There is mention of multiple future scenarios in the proposal.  We need a more specific name here.  ANS.: There is now only mention of RCP8.5 - the problem we have is there is not much clarity about SSP scenarios, and timescales for their production, and the similarity with RCP8.5",14,
"Coupled integrations, at least one with constant 1950""s forcing (CTL) and one or more with historic and then RCP4.5 (as in Forced_Atmos_Land, EXP).",Coupled,HighResMIP,1,2,1951,2014,64,2,hist-1950,hist,1950,,none,AOGCM,AER CHEM BGM,hist-1950,coupled historical 1950-2014,none,control-1950,none,HighResMIP,should this and other simulations be initialized at the beginning of 1951 or beginning of 1950?,9,
"Forced global atmosphere-land simulations using daily 1/4 degree SST and sea-ice forcings, and aerosol concentrations (not emissions) to constrain model spread",ForcedAtmosLand,HighResMIP,1,1,1951,2014,64,1,highresSST-present,highresSST,present,,none,AGCM,AER CHEM,highresSST-present,forced atmosphere experiment for 1950-2014,none,,,,,18,
Extend Forced_Atmos_land to 2050 with agreed forcings (with option to extend further to 2100),ForcedAtmosLand2050,HighResMIP,1,1,2015,2050,36,3,highresSST-future,highresSST,future,,none,AGCM,AER CHEM,highresSST-future,forced atmosphere experiment for 2015-2050 using SST/sea-ice derived from CMIP5 RCP8.5 simulations and a scenario as close to RCP8.5 as possible within CMIP6,none,highresSST-present,none,HighResMIP,"The forcing for this run in unclear.  There is mention of multiple future scenarios in the proposal.   ANS: See above - the future SST and sea-ice has to be derived from CMIP5 simulations, so we will try to match the CMIP6 forcings (when they become available for the future) with this as well as possible,",17,
"Forced global atmosphere-land simulations as highresSST-present, but using an common LAI dataset across models. ",ForcedAtmosLand,HighResMIP,1,1,1951,2014,64,1,highresSST-LAI,highresSST,LAI,,none,AGCM,AER CHEM,highresSST-LAI,common LAI dataset within the highresSST-present experiment,none,highresSST-present,none,HighResMIP,,14,
"Forced global atmosphere-land simulations as highresSST-present, but using smoothed SST to investigate impact of SST variability. ",ForcedAtmosLand,HighResMIP,1,1,1951,2014,64,1,highresSST-smoothed,highresSST,smoothed,,none,AGCM,AER CHEM,highresSST-smoothed,smoothed SST version of highresSST-present,none,highresSST-present,none,HighResMIP,,19,
"Similar to CFMIP amip-p4K, add a uniform warming of 4K to highresSST-present SSTs and run the experiment parallel to years 2005-2014 of highresSST-present.",ForcedAtmosLand,HighResMIP,1,1,1951,2014,64,1,highresSST-p4K,highresSST,p4K,,none,AGCM,AER CHEM,highresSST-p4k,uniform 4K warming of highresSST-present SST,none,highresSST-present,none,HighResMIP,,14,
"Similar to CFMIP amip-4xCO2, SSTs are held at highresSST-present  values and the CO2 seen by the radiation scheme is quadrupled. Run over years 2005-2014 of highresSST-present.",ForcedAtmosLand,HighResMIP,1,1,1951,2014,64,1,highresSST-4co2,highresSST,4co2,,none,AGCM,AER CHEM,highresSST-4co2,highresSST-present SST with 4xCO2 concentrations,none,highresSST-present,none,HighResMIP,,15,
"Idealized 1%/yr CO2 increase to 4xC02 over 140yrs and kept constant at 4xCO2 for an additional 200 to 400 yrs simulation with ice sheets forced ""offline"" with DECK 1pctCO2 using a standard forcing.",1pctCo2forcedism,ISMIP6,1,1,,,350,1,ism-1pctCO2to4x-std,ism,1pctCO2to4x,std,none,ISM,,ism-1pctCO2to4x-std,offline ice sheet model forced by ISMIP6-specified AOGCM 1pctCO2to4x output ,none,ism-pdControl-std,none,ISMIP6,,19,
"Idealized 1%/yr CO2 increase to 4xC02 over 140yrs and kept constant at 4xCO2 for an additional 200 to 400 yrs simulation with ice sheets forced ""offline"" with DECK 1pctCO2 using forcing from its own AOGCM ",1pctCo2forcedism,ISMIP6,1,1,,,350,1,ism-1pctCO2to4x-self,ism,1pctCO2to4x,self,none,ISM,,ism-1pctCO2to4x-self,offline ice sheet model forced by ISM's own AOGCM 1pctCO2to4x output ,none,ism-piControl-self,none,ISMIP6,,20,
Idealized 1%/yr CO2 increase to 4xC02 over 140yrs and kept constant at 4xCO2 for an additional 200 to 400 yrs simulation that includes interactive ice sheets.,1pctCo2withism,ISMIP6,1,1,,,350,1,1pctCO2to4x-withism,1pctCO2to4x,withism,,none,AOGCM ISM,AER CHEM BGM,1pctCO2to4x-withism,simulation with interactive ice sheet forced by 1 percent per year increase in CO2 to 4xCO2 (subsequently held fixed),none,piControl-withism,none,ISMIP6,,19,
"Present-day control simulation for ""offline"" ice sheets.",piControlforcedism,ISMIP6,1,1,,,451,1,ism-pdControl-std,ism,pdControl,std,none,ISM,,ism-pdControl-std,offline ice sheet forced by ISMIP6-specified AOGCM pdControl output,none,,,,,17,
"Pre-industrial control simulation for ""offline"" ice sheets.",,ISMIP6,1,,,,451,1,ism-piControl-self,ism,piControl,self,none,ISM,,ism-piControl-self,offline ice sheet forced by ISM's own AOGCM piControl output,none,,,,,18,
Pre-industrial control simulation that includes interactive ice sheets.,piControlwithism,ISMIP6,1,1,,,451,1,piControl-withism,piControl,withism,,none,AOGCM ISM,AER CHEM BGM,piControl-withism,preindustrial control with interactive ice sheet,none,,,,,17,
"Historical simulation using ""offline"" ice sheet models. Forcing for ice sheet model is the standard dataset based on CMIP6 AOGCM historical. ",historicalforcedism,ISMIP6,1,1,1850,2014,165,2,ism-historical-std,ism,historical,std,none,ISM,,ism-historical-std,offline ice sheet forced by ISMIP6-specified AOGCM historical output,none,ism-pdControl-std,none,ISMIP6,,18,
"Historical simulation using ""offline"" ice sheet models. Forcing for ice sheet model is from its own AOGCM. ",historicalforcedism,ISMIP6,1,1,1850,2014,165,2,ism-historical-self,ism,historical,self,none,ISM,,ism-historical-self,offline ice sheet forced by ISM's own AOGCM historical output,none,ism-piControl-self,none,ISMIP6,,19,
Historical simulation that includes interactive ice sheets. Set up follows the historical experiment,historicalwithism,ISMIP6,1,1,1850,2014,165,2,historical-withism,historical,withism,,none,AOGCM ISM,AER CHEM BGM,historical-withism,historical with interactive ice sheet,none,piControl-withism,none,ISMIP6,,18,
"Future climate ScenarioMIP SSP5-8.5 simulation using ""offline"" ice sheet models. Forcing for ice sheet model is the standard dataset based on ScenarioMIP ssp585",Ssp585forcedism,ISMIP6,1,1,2015,2300,286,2,ism-ssp585-std,ism,ssp585,std,none,ISM,,ism-ssp585-std,offline ice sheet forced by ISMIP6-specified AOGCM ssp585 output,none,ism-historical-std,none,ISMIP6,,14,
"Future climate ScenarioMIP SSP5-8.5 simulation using ""offline"" ice sheet models. Forcing for ice sheet model is from its own AOGCM.",Ssp585forcedism,ISMIP6,1,1,2015,2300,286,2,ism-ssp585-self,ism,ssp585,self,none,ISM,,ism-ssp585-self,offline ice sheet forced by ISM's own AOGCM ssp585 output,none,ism-historical-self,none,ISMIP6,,15,
Future climate from ScenarioMIP SSP5-8.5 simulation that includes interactive ice sheets. Set up follows the standard SSP5-8.5 experiment,Ssp585withism,ISMIP6,1,1,2015,2300,286,2,ssp585-withism,ssp585,withism,,none,AOGCM ISM,AER CHEM BGM,ssp585-withism,ssp585 with interactive ice sheet,none,historical-withism,none,ISMIP6,,14,
Offline ice sheet evolution for the last few decades forced by amip,amipforcedism,ISMIP6,1,1,1979,2014,36,3,ism-amip-std,ism,amip,std,none,ISM,,ism-amip-std,offline ice sheet forced by ISMIP6-specified AGCM AMIP output,none,,,,,12,
Last interglacial simulation of ice sheet evolution driven by PMIP lig127k,lastInterglacialforcedism,ISMIP6,1,1,,,,3,ism-lig127k-std,ism,lig127k,std,none,ISM,,ism-lig127k-std,offline ice sheet forced by ISMIP6-specified AGCM last interglacial output,none,,,,might want to specify specific start year from PMIP,15,
